model,Wicked,Original,index,Original,question_type
DSR1-Distill-Llama-8B,30.305555555555557,4.083333333333333,0,4.083333333333333,mcq
DSR1-Distill-Qwen-7B,30.644444444444446,2.2611111111111084,2,2.2611111111111084,mcq
Llama3.1-8B,39.69444444444444,2.2444444444444436,4,2.2444444444444436,mcq
Llama3.1-8B-IT,43.64444444444444,2.183333333333337,5,2.183333333333337,mcq
Mistral-7B,35.97222222222222,2.144444444444449,6,2.144444444444449,mcq
Mistral-7B-IT,33.53888888888889,1.7166666666666663,7,1.7166666666666663,mcq
Qwen2.5-7B,45.50555555555556,6.8611111111111125,8,6.8611111111111125,mcq
Qwen2.5-7B-IT,47.099999999999994,4.966666666666663,9,4.966666666666663,mcq
Qwen2.5-14B,55.65,3.627777777777774,10,3.627777777777774,mcq
Qwen2.5-14B-IT,56.766666666666666,3.499999999999992,11,3.499999999999992,mcq
Gemma2-9B,36.15,12.81666666666667,13,12.81666666666667,mcq
Gemma2-9B-IT,44.09444444444445,6.338888888888883,14,6.338888888888883,mcq
Gemma2-27B,36.15,12.81666666666667,15,12.81666666666667,mcq
Gemma2-27B-IT,51.288888888888884,3.311111111111109,16,3.311111111111109,mcq
